Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)

10.000000	0.000106	0.012735	0.012735	-60.153473	0.010000	0.400216	179.155305	179.155305	179.155305	0.234637	0.000000	2.830000	800.858383	282.994414	0.359996
10.144045	0.000109	0.012918	0.012919	-59.656572	0.010000	0.400216	179.143138	179.143138	179.143138	0.234637	0.000000	2.830000	800.857466	282.994252	0.365182
10.290166	0.000112	0.013104	0.013105	-59.159626	0.010000	0.400215	179.130795	179.130795	179.130795	0.234637	0.000000	2.830000	800.856522	282.994085	0.370442
10.438391	0.000116	0.013293	0.013294	-58.662784	0.010000	0.400215	179.118275	179.118275	179.118275	0.234637	0.000000	2.830000	800.855550	282.993913	0.375778
10.588751	0.000119	0.013485	0.013485	-58.165860	0.010000	0.400215	179.105574	179.105574	179.105574	0.234637	0.000000	2.830000	800.854551	282.993737	0.381191
10.741277	0.000123	0.013679	0.013679	-57.669032	0.010000	0.400215	179.092690	179.092690	179.092690	0.234636	0.000000	2.830000	800.853522	282.993555	0.386682
10.896000	0.000126	0.013876	0.013876	-57.172156	0.010000	0.400215	179.079621	179.079621	179.079621	0.234636	0.000000	2.830000	800.852464	282.993368	0.392251
11.052951	0.000130	0.014076	0.014076	-56.675260	0.010000	0.400214	179.066363	179.066363	179.066363	0.234636	0.000000	2.830000	800.851375	282.993176	0.397901
11.212164	0.000133	0.014278	0.014279	-56.178404	0.010000	0.400214	179.052915	179.052915	179.052915	0.234636	0.000000	2.830000	800.850254	282.992978	0.403633
11.373670	0.000137	0.014484	0.014485	-55.681511	0.010000	0.400214	179.039272	179.039272	179.039272	0.234636	0.000000	2.830000	800.849101	282.992774	0.409447
11.537502	0.000141	0.014693	0.014693	-55.184594	0.010000	0.400214	179.025434	179.025434	179.025434	0.234636	0.000000	2.830000	800.847914	282.992564	0.415345
