Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
16.975152	0.007674	0.105483	0.105762	0.127896	0.010001	0.400668	175.210031	175.210031	175.210031	0.785402	0.000091	2.830000	800.797958	282.983609	0.611797
17.219671	0.007896	0.106990	0.107281	0.624400	0.010001	0.400680	175.140891	175.140891	175.140891	0.785471	0.000097	2.830000	800.795260	282.983124	0.620630
17.467712	0.008125	0.108518	0.108822	1.120893	0.010001	0.400694	175.070750	175.070750	175.070750	0.785541	0.000102	2.830000	800.792481	282.982625	0.629591
17.719326	0.008360	0.110068	0.110385	1.617374	0.010001	0.400707	174.999591	174.999591	174.999591	0.785614	0.000108	2.830000	800.789620	282.982111	0.638682
17.974565	0.008602	0.111639	0.111970	2.113843	0.010001	0.400721	174.927401	174.927401	174.927401	0.785689	0.000115	2.830000	800.786675	282.981582	0.647905
18.233480	0.008851	0.113232	0.113578	2.610300	0.010001	0.400736	174.854164	174.854164	174.854164	0.785766	0.000121	2.830000	800.783642	282.981036	0.657262
18.496125	0.009107	0.114848	0.115209	3.106743	0.010001	0.400751	174.779864	174.779864	174.779864	0.785845	0.000129	2.830000	800.780518	282.980474	0.666754
18.762553	0.009370	0.116486	0.116863	3.603174	0.010001	0.400766	174.704487	174.704487	174.704487	0.785926	0.000136	2.830000	800.777302	282.979896	0.676385
19.032818	0.009641	0.118147	0.118540	4.099591	0.010001	0.400781	174.628015	174.628015	174.628015	0.786010	0.000144	2.830000	800.773991	282.979299	0.686155
19.306977	0.009920	0.119832	0.120242	4.595993	0.010001	0.400798	174.550434	174.550434	174.550434	0.786096	0.000153	2.830000	800.770581	282.978684	0.696067
19.585085	0.010207	0.121539	0.121967	5.092382	0.010001	0.400814	174.471727	174.471727	174.471727	0.786185	0.000162	2.830000	800.767069	282.978051	0.706123
19.867199	0.010502	0.123271	0.123718	5.588756	0.010001	0.400831	174.391876	174.391876	174.391876	0.786276	0.000171	2.830000	800.763453	282.977399	0.716326
20.153377	0.010806	0.125027	0.125493	6.085114	0.010001	0.400849	174.310866	174.310866	174.310866	0.786370	0.000181	2.830000	800.759728	282.976727	0.726677
20.443677	0.011118	0.126807	0.127293	6.581457	0.010001	0.400867	174.228680	174.228680	174.228680	0.786466	0.000192	2.830000	800.755893	282.976034	0.737178
20.738158	0.011440	0.128612	0.129119	7.077784	0.010001	0.400886	174.145298	174.145298	174.145298	0.786565	0.000203	2.830000	800.751943	282.975320	0.747832
21.036882	0.011771	0.130442	0.130972	7.574093	0.010001	0.400905	174.060705	174.060705	174.060705	0.786667	0.000215	2.830000	800.747876	282.974584	0.758641
21.339908	0.012111	0.132297	0.132850	8.070386	0.010001	0.400924	173.974882	173.974882	173.974882	0.786772	0.000228	2.830000	800.743686	282.973826	0.769607
21.647300	0.012461	0.134178	0.134755	8.566661	0.010001	0.400945	173.887812	173.887812	173.887812	0.786880	0.000241	2.830000	800.739371	282.973045	0.780733
21.959119	0.012821	0.136085	0.136687	9.062918	0.010001	0.400965	173.799474	173.799474	173.799474	0.786991	0.000255	2.830000	800.734927	282.972239	0.792021
22.275430	0.013191	0.138018	0.138647	9.559157	0.010001	0.400987	173.709851	173.709851	173.709851	0.787106	0.000270	2.830000	800.730349	282.971409	0.803473
22.596297	0.013572	0.139978	0.140634	10.055376	0.010001	0.401009	173.618924	173.618924	173.618924	0.787223	0.000286	2.830000	800.725634	282.970554	0.815092
22.921786	0.013965	0.141965	0.142650	10.551575	0.010001	0.401031	173.526674	173.526674	173.526674	0.787344	0.000303	2.830000	800.720778	282.969672	0.826881
23.251963	0.014368	0.143979	0.144694	11.047753	0.010001	0.401055	173.433079	173.433079	173.433079	0.787469	0.000321	2.830000	800.715775	282.968762	0.838841
23.586897	0.014783	0.146021	0.146768	11.543911	0.010001	0.401079	173.338122	173.338122	173.338122	0.787597	0.000340	2.830000	800.710622	282.967825	0.850976
23.926655	0.015210	0.148091	0.148870	12.040047	0.010001	0.401103	173.241781	173.241781	173.241781	0.787728	0.000360	2.830000	800.705314	282.966859	0.863288
24.271307	0.015649	0.150190	0.151003	12.536161	0.010001	0.401129	173.144035	173.144035	173.144035	0.787864	0.000381	2.830000	800.699845	282.965863	0.875780
24.620924	0.016101	0.152317	0.153165	13.032251	0.010001	0.401155	173.044864	173.044864	173.044864	0.788003	0.000403	2.830000	800.694211	282.964835	0.888454
24.975577	0.016565	0.154473	0.155358	13.528318	0.010001	0.401182	172.944247	172.944247	172.944247	0.788146	0.000427	2.830000	800.688407	282.963776	0.901313
25.335338	0.017043	0.156658	0.157583	14.024361	0.010001	0.401209	172.842161	172.842161	172.842161	0.788293	0.000452	2.830000	800.682428	282.962684	0.914360
25.700282	0.017535	0.158874	0.159838	14.520379	0.010001	0.401238	172.738586	172.738586	172.738586	0.788445	0.000479	2.830000	800.676267	282.961558	0.927597
26.070482	0.018041	0.161119	0.162126	15.016370	0.010001	0.401267	172.633497	172.633497	172.633497	0.788601	0.000507	2.830000	800.669919	282.960396	0.941028
26.446016	0.018561	0.163395	0.164446	15.512335	0.010001	0.401297	172.526874	172.526874	172.526874	0.788761	0.000537	2.830000	800.663379	282.959198	0.954656
26.826958	0.019097	0.165702	0.166798	16.008273	0.010001	0.401328	172.418693	172.418693	172.418693	0.788926	0.000569	2.830000	800.656640	282.957963	0.968483
27.213388	0.019647	0.168039	0.169184	16.504182	0.010002	0.401359	172.308930	172.308930	172.308930	0.789095	0.000602	2.830000	800.649695	282.956688	0.982513
27.605384	0.020214	0.170409	0.171604	17.000062	0.010002	0.401392	172.197562	172.197562	172.197562	0.789270	0.000638	2.830000	800.642539	282.955374	0.996748
28.003026	0.020797	0.172810	0.174057	17.495913	0.010002	0.401425	172.084564	172.084564	172.084564	0.789449	0.000675	2.830000	800.635165	282.954017	1.011192
28.406397	0.021396	0.175244	0.176545	17.991732	0.010002	0.401460	171.969912	171.969912	171.969912	0.789633	0.000715	2.830000	800.627565	282.952618	1.025847
28.815578	0.022012	0.177710	0.179068	18.487520	0.010002	0.401495	171.853581	171.853581	171.853581	0.789823	0.000757	2.830000	800.619733	282.951175	1.040718
29.230652	0.022646	0.180209	0.181626	18.983274	0.010002	0.401532	171.735546	171.735546	171.735546	0.790018	0.000801	2.830000	800.611660	282.949685	1.055806
29.651706	0.023299	0.182742	0.184221	19.478995	0.010002	0.401569	171.615780	171.615780	171.615780	0.790219	0.000849	2.830000	800.603340	282.948148	1.071116
30.078825	0.023970	0.185308	0.186852	19.974682	0.010002	0.401608	171.494258	171.494258	171.494258	0.790425	0.000899	2.830000	800.594764	282.946562	1.086652
30.512097	0.024660	0.187908	0.189519	20.470332	0.010002	0.401648	171.370953	171.370953	171.370953	0.790637	0.000951	2.830000	800.585924	282.944925	1.102415
30.951609	0.025369	0.190543	0.192225	20.965945	0.010002	0.401689	171.245838	171.245838	171.245838	0.790855	0.001007	2.830000	800.576812	282.943236	1.118410
31.397452	0.026099	0.193213	0.194968	21.461521	0.010002	0.401730	171.118884	171.118884	171.118884	0.791079	0.001067	2.830000	800.567418	282.941492	1.134641
31.849718	0.026850	0.195918	0.197749	21.957057	0.010002	0.401774	170.990066	170.990066	170.990066	0.791310	0.001129	2.830000	800.557734	282.939692	1.151111
